geo_country,geo_state,geo_county,n
United States,Mississippi,Mississippi Delta,446
United States,Virginia,Shenandoah Valley,246
United States,Virginia,Shenandoah National Park (Va.),226
United States,Montana,Glacier National Park,129
United States,West Virginia,Tygart Valley,99
United States,Virginia,Virginia Beach,98
United States,Arkansas,Ozark Mountains,75
United States,Virginia,Shenandoah National Park,75
United States,New York,Long Island,50
United States,Washington,Yakima Valley,49
United States,Montana,Custer National Forest,45
United States,Florida,Withlacoochee Land Use Project,39
United States,Alabama,Muscle Shoals Area,38
United States,New York,Erie Canal,32
United States,Louisiana,Mississippi River,27
United States,Colorado,Yampa River Valley,23
United States,New Mexico,Sangre de Cristo Mountains,23
United States,Colorado,Western Slope Farms,22
United States,New York,Hudson River Valley,22
United States,California,San Joaquin Valley,21
United States,Massachusetts,Cape Cod,20
United States,California,Imperial Valley,18
United States,Colorado,San Luis Valley,16
United States,New Mexico,Mescalero Apache Reservation,15
United States,California,Salinas Valley,14
United States,Missouri,Mississippi River,13
United States,Nebraska,North Platte River Valley,12
United States,California,Death Valley,11
United States,Hawaii,Kauai District,11
United States,Maryland,Eastern Shore,11
United States,Alaska,Aleutian Islands,10
United States,Alaska,Nome Census Area,9
United States,Minnesota,Lake of the Woods,9
United States,Montana,Northern Cheyenne Indian Reservation,9
United States,New York,Finger Lakes,9
United States,South Dakota,Badlands National Park,9
United States,New Jersey,Pine Barrens,8
United States,North Dakota,Red River of the North Valley,8
United States,South Dakota,Custer State Park,8
United States,Wyoming,Teton National Forest,8
United States,California,San Fernando Valley,7
United States,Colorado,Mesa Verde National Park,7
United States,Texas,Texas Panhandle,7
United States,West Virginia,Scotts Run,7
United States,California,Sequoia National Park,6
United States,Louisiana,Bayou La Fourche,6
United States,Missouri,Lake of the Ozarks,6
United States,Tennessee,Blue Ridge Mountains,6
United States,Tennessee,Tennessee Valley,6
United States,Arkansas,Parkdale,5
United States,California,San Francisco Bay,5
United States,New Mexico,Carlsbad Caverns,5
United States,Oregon,Mount Hood National Park,5
United States,Virginia,Blue Ridge Mountains,5
United States,Wyoming,Snake River Valley,5
United States,New Hampshire,Presidential Range,4
United States,Oregon,Columbia River Gorge,4
United States,Virginia,Old Rag Mountain,4
United States,Wyoming,Grand Teton National Forest,4
United States,Arizona,Theodore Roosevelt Dam,3
United States,Colorado,Arapahoe National Forest,3
United States,Michigan,Au Sable River,3
United States,Montana,Forsythe,3
United States,Ohio,Ohio River,3
United States,Texas,Brazos River Valley,3
United States,Alaska,Fairbanks North Star,2
United States,Arizona,Petrified Forest National Park,2
United States,California,Coachella Valley,2
United States,Colorado,Rocky Mountain National Park,2
United States,Hawaii,Oahu,2
United States,Illinois,Robbs,2
United States,Missouri,Ozark Mountains,2
United States,New Hampshire,Lost River,2
United States,Oregon,White Salmon River,2
United States,Oregon,Yachats River,2
United States,South Dakota,Badlands,2
United States,South Dakota,Custer National Forest,2
United States,Tennessee,Smoky Mountains,2
United States,West Virginia,Monongahela National Forest,2
United States,Alabama,Tennessee Valley,1
United States,Alaska,Aleutians Islands,1
United States,Arizona,Grand Canyon,1
United States,Arizona,Salt River Valley,1
United States,California,San Francisco Area,1
United States,Colorado,Montezuma National Forest,1
United States,Colorado,Rocky Mountains,1
United States,Colorado,Roosevelt National Forest,1
United States,Georgia,Jefferson Davis Memorial State Park,1
United States,Idaho,Payette National Forest,1
United States,Idaho,Targhee National Forest,1
United States,Louisiana,Louisiana Delta,1
United States,Massachusetts,Cape Cod Bay,1
United States,Michigan,Keweenaw Peninsula,1
United States,Nevada,Pyramid Lake Indian Reservation,1
United States,New Mexico,Sangre de Cristo Mounatins,1
United States,New Mexico,Tewa Basin,1
United States,Oregon,Cascade Range,1
United States,Oregon,Coast Range,1
United States,Oregon,Coast Ranges,1
United States,Oregon,Columbia River,1
United States,Oregon,McKenzie River Valley,1
United States,Oregon,Willamette River,1
United States,Pennsylvania,Pennsylvania Turnpike,1
United States,South Carolina,Parris Island,1
United States,Tennessee,Tennessee River,1
United States,Texas,Rio Grande Valley,1
United States,Virginia,Appalachia,1
United States,Virginia,Skyline Drive,1
United States,Wyoming,Grand Tetons,1
